p wcnf 416 3886 100000000000000000
100000000000000000 -1 -2 -3 -4 0
100000000000000000 -1 -2 -5 -6 0
100000000000000000 -1 -2 -7 -8 0
100000000000000000 -1 -2 -9 -10 0
100000000000000000 -1 -2 -11 -12 0
100000000000000000 -1 -2 -13 -14 0
100000000000000000 -1 -2 -15 -16 0
100000000000000000 -1 -2 -17 -18 0
100000000000000000 -1 -2 -19 -20 0
100000000000000000 -1 -2 -21 -22 0
100000000000000000 -1 -2 -23 -24 0
100000000000000000 -1 -2 -25 -26 0
100000000000000000 -1 -2 -27 -28 0
100000000000000000 -1 -2 -29 -30 0
100000000000000000 -1 -2 -31 -32 0
100000000000000000 -1 -33 -3 -34 0
100000000000000000 -1 -33 -5 -35 0
100000000000000000 -1 -33 -7 -36 0
100000000000000000 -1 -33 -9 -37 0
100000000000000000 -1 -33 -11 -38 0
100000000000000000 -1 -33 -13 -39 0
100000000000000000 -1 -33 -15 -40 0
100000000000000000 -1 -33 -17 -41 0
100000000000000000 -1 -33 -19 -42 0
100000000000000000 -1 -33 -21 -43 0
100000000000000000 -1 -33 -23 -44 0
100000000000000000 -1 -33 -25 -45 0
100000000000000000 -1 -33 -27 -46 0
100000000000000000 -1 -33 -29 -47 0
100000000000000000 -1 -33 -31 -48 0
100000000000000000 -1 -49 -3 -50 0
100000000000000000 -1 -49 -5 -51 0
100000000000000000 -1 -49 -7 -52 0
100000000000000000 -1 -49 -9 -53 0
100000000000000000 -1 -49 -11 -54 0
100000000000000000 -1 -49 -13 -55 0
100000000000000000 -1 -49 -15 -56 0
100000000000000000 -1 -49 -17 -57 0
100000000000000000 -1 -49 -19 -58 0
100000000000000000 -1 -49 -21 -59 0
100000000000000000 -1 -49 -23 -60 0
100000000000000000 -1 -49 -25 -61 0
100000000000000000 -1 -49 -27 -62 0
100000000000000000 -1 -49 -29 -63 0
100000000000000000 -1 -49 -31 -64 0
100000000000000000 -1 -65 -3 -66 0
100000000000000000 -1 -65 -5 -67 0
100000000000000000 -1 -65 -7 -68 0
100000000000000000 -1 -65 -9 -69 0
100000000000000000 -1 -65 -11 -70 0
100000000000000000 -1 -65 -13 -71 0
100000000000000000 -1 -65 -15 -72 0
100000000000000000 -1 -65 -17 -73 0
100000000000000000 -1 -65 -19 -74 0
100000000000000000 -1 -65 -21 -75 0
100000000000000000 -1 -65 -23 -76 0
100000000000000000 -1 -65 -25 -77 0
100000000000000000 -1 -65 -27 -78 0
100000000000000000 -1 -65 -29 -79 0
100000000000000000 -1 -65 -31 -80 0
100000000000000000 -1 -81 -3 -82 0
100000000000000000 -1 -81 -5 -83 0
100000000000000000 -1 -81 -7 -84 0
100000000000000000 -1 -81 -9 -85 0
100000000000000000 -1 -81 -11 -86 0
100000000000000000 -1 -81 -13 -87 0
100000000000000000 -1 -81 -15 -88 0
100000000000000000 -1 -81 -17 -89 0
100000000000000000 -1 -81 -19 -90 0
100000000000000000 -1 -81 -21 -91 0
100000000000000000 -1 -81 -23 -92 0
100000000000000000 -1 -81 -25 -93 0
100000000000000000 -1 -81 -27 -94 0
100000000000000000 -1 -81 -29 -95 0
100000000000000000 -1 -81 -31 -96 0
100000000000000000 -97 -2 -98 -4 0
100000000000000000 -97 -2 -99 -6 0
100000000000000000 -97 -2 -100 -8 0
100000000000000000 -97 -2 -101 -10 0
100000000000000000 -97 -2 -102 -12 0
100000000000000000 -97 -2 -103 -14 0
100000000000000000 -97 -2 -104 -16 0
100000000000000000 -97 -2 -105 -18 0
100000000000000000 -97 -2 -106 -20 0
100000000000000000 -97 -2 -107 -22 0
100000000000000000 -97 -2 -108 -24 0
100000000000000000 -97 -2 -109 -26 0
100000000000000000 -97 -2 -110 -28 0
100000000000000000 -97 -2 -111 -30 0
100000000000000000 -97 -2 -112 -32 0
100000000000000000 -97 -33 -98 -34 0
100000000000000000 -97 -33 -99 -35 0
100000000000000000 -97 -33 -100 -36 0
100000000000000000 -97 -33 -101 -37 0
100000000000000000 -97 -33 -102 -38 0
100000000000000000 -97 -33 -103 -39 0
100000000000000000 -97 -33 -104 -40 0
100000000000000000 -97 -33 -105 -41 0
100000000000000000 -97 -33 -106 -42 0
100000000000000000 -97 -33 -107 -43 0
100000000000000000 -97 -33 -108 -44 0
100000000000000000 -97 -33 -109 -45 0
100000000000000000 -97 -33 -110 -46 0
100000000000000000 -97 -33 -111 -47 0
100000000000000000 -97 -33 -112 -48 0
100000000000000000 -97 -49 -98 -50 0
100000000000000000 -97 -49 -99 -51 0
100000000000000000 -97 -49 -100 -52 0
100000000000000000 -97 -49 -101 -53 0
100000000000000000 -97 -49 -102 -54 0
100000000000000000 -97 -49 -103 -55 0
100000000000000000 -97 -49 -104 -56 0
100000000000000000 -97 -49 -105 -57 0
100000000000000000 -97 -49 -106 -58 0
100000000000000000 -97 -49 -107 -59 0
100000000000000000 -97 -49 -108 -60 0
100000000000000000 -97 -49 -109 -61 0
100000000000000000 -97 -49 -110 -62 0
100000000000000000 -97 -49 -111 -63 0
100000000000000000 -97 -49 -112 -64 0
100000000000000000 -97 -65 -98 -66 0
100000000000000000 -97 -65 -99 -67 0
100000000000000000 -97 -65 -100 -68 0
100000000000000000 -97 -65 -101 -69 0
100000000000000000 -97 -65 -102 -70 0
100000000000000000 -97 -65 -103 -71 0
100000000000000000 -97 -65 -104 -72 0
100000000000000000 -97 -65 -105 -73 0
100000000000000000 -97 -65 -106 -74 0
100000000000000000 -97 -65 -107 -75 0
100000000000000000 -97 -65 -108 -76 0
100000000000000000 -97 -65 -109 -77 0
100000000000000000 -97 -65 -110 -78 0
100000000000000000 -97 -65 -111 -79 0
100000000000000000 -97 -65 -112 -80 0
100000000000000000 -97 -81 -98 -82 0
100000000000000000 -97 -81 -99 -83 0
100000000000000000 -97 -81 -100 -84 0
100000000000000000 -97 -81 -101 -85 0
100000000000000000 -97 -81 -102 -86 0
100000000000000000 -97 -81 -103 -87 0
100000000000000000 -97 -81 -104 -88 0
100000000000000000 -97 -81 -105 -89 0
100000000000000000 -97 -81 -106 -90 0
100000000000000000 -97 -81 -107 -91 0
100000000000000000 -97 -81 -108 -92 0
100000000000000000 -97 -81 -109 -93 0
100000000000000000 -97 -81 -110 -94 0
100000000000000000 -97 -81 -111 -95 0
100000000000000000 -97 -81 -112 -96 0
100000000000000000 -113 -2 -114 -4 0
100000000000000000 -113 -2 -115 -6 0
100000000000000000 -113 -2 -116 -8 0
100000000000000000 -113 -2 -117 -10 0
100000000000000000 -113 -2 -118 -12 0
100000000000000000 -113 -2 -119 -14 0
100000000000000000 -113 -2 -120 -16 0
100000000000000000 -113 -2 -121 -18 0
100000000000000000 -113 -2 -122 -20 0
100000000000000000 -113 -2 -123 -22 0
100000000000000000 -113 -2 -124 -24 0
100000000000000000 -113 -2 -125 -26 0
100000000000000000 -113 -2 -126 -28 0
100000000000000000 -113 -2 -127 -30 0
100000000000000000 -113 -2 -128 -32 0
100000000000000000 -113 -33 -114 -34 0
100000000000000000 -113 -33 -115 -35 0
100000000000000000 -113 -33 -116 -36 0
100000000000000000 -113 -33 -117 -37 0
100000000000000000 -113 -33 -118 -38 0
100000000000000000 -113 -33 -119 -39 0
100000000000000000 -113 -33 -120 -40 0
100000000000000000 -113 -33 -121 -41 0
100000000000000000 -113 -33 -122 -42 0
100000000000000000 -113 -33 -123 -43 0
100000000000000000 -113 -33 -124 -44 0
100000000000000000 -113 -33 -125 -45 0
100000000000000000 -113 -33 -126 -46 0
100000000000000000 -113 -33 -127 -47 0
100000000000000000 -113 -33 -128 -48 0
100000000000000000 -113 -49 -114 -50 0
100000000000000000 -113 -49 -115 -51 0
100000000000000000 -113 -49 -116 -52 0
100000000000000000 -113 -49 -117 -53 0
100000000000000000 -113 -49 -118 -54 0
100000000000000000 -113 -49 -119 -55 0
100000000000000000 -113 -49 -120 -56 0
100000000000000000 -113 -49 -121 -57 0
100000000000000000 -113 -49 -122 -58 0
100000000000000000 -113 -49 -123 -59 0
100000000000000000 -113 -49 -124 -60 0
100000000000000000 -113 -49 -125 -61 0
100000000000000000 -113 -49 -126 -62 0
100000000000000000 -113 -49 -127 -63 0
100000000000000000 -113 -49 -128 -64 0
100000000000000000 -113 -65 -114 -66 0
100000000000000000 -113 -65 -115 -67 0
100000000000000000 -113 -65 -116 -68 0
100000000000000000 -113 -65 -117 -69 0
100000000000000000 -113 -65 -118 -70 0
100000000000000000 -113 -65 -119 -71 0
100000000000000000 -113 -65 -120 -72 0
100000000000000000 -113 -65 -121 -73 0
100000000000000000 -113 -65 -122 -74 0
100000000000000000 -113 -65 -123 -75 0
100000000000000000 -113 -65 -124 -76 0
100000000000000000 -113 -65 -125 -77 0
100000000000000000 -113 -65 -126 -78 0
100000000000000000 -113 -65 -127 -79 0
100000000000000000 -113 -65 -128 -80 0
100000000000000000 -113 -81 -114 -82 0
100000000000000000 -113 -81 -115 -83 0
100000000000000000 -113 -81 -116 -84 0
100000000000000000 -113 -81 -117 -85 0
100000000000000000 -113 -81 -118 -86 0
100000000000000000 -113 -81 -119 -87 0
100000000000000000 -113 -81 -120 -88 0
